Week,Day,Date,,,,OT,Rec,,Opp,ScoreTm,ScoreOpp,Off1stD,OffTotYd,OffPassY,OffRushY,OffTO,Def1stD,DefTotYd,DefPassY,DefRushY,DefTO,ExpPtsOffense,ExpPtsDefense,ExpPtsSp. Tms
1,Sun,8-Sep,8:20PM ET,boxscore,L,,0-1,@,New England Patriots,3,33,15,308,276,32,1,24,465,366,99,,-9.5,-18.24,0.8
2,Sun,15-Sep,1:00PM ET,boxscore,L,,0-2,,Seattle Seahawks,26,28,17,261,180,81,1,25,425,274,151,2,0.23,-5.07,-1.28
